sdumont1243
sdumont1243
	linux-vdso.so.1 =>  (0x00007ffcbb0f9000)
	libm.so.6 => /usr/lib64/libm.so.6 (0x00002af9102ff000)
	libc.so.6 => /usr/lib64/libc.so.6 (0x00002af910601000)
	/lib64/ld-linux-x86-64.so.2 (0x00002af9100db000)

Loop 	 Time(Sec) 	 Checksum 
S000	 0.539 		32000.000000 
S111	 0.281 		32000.410156 
S1111	 0.682 		 16005.412109 
S112	 0.810 		81355.289062 
S1112	 0.807 		 32001.640625 
S113	 1.075 		32000.640625 
S1113	 0.538 		32001.640625 
S114	 0.441 		2634.220215 
S115	 2.206 		31727.289062 
S1115	 0.602 		0.065485 
S116	 1.634 		32000.000000 
S118	 0.558 		32353.884766 
S119	 0.473 		 86333.179688 
S1119	 0.453 		 106405.335938 
S121	 0.808 		32009.023438 
S122	 0.270 		48448.035156 
S123	 0.348 		32003.283203 
S124	 0.488 		32001.640625 
S125	 0.286 		131072.000000 
S126	 0.197 		344012.531250 
S127	 0.554 		32003.283203 
S128	 0.556 		80000.000000 
S131	 1.346 		32009.023438 
S132	 0.970 		65538.562500 
S141	 0.518 		146841.843750 
S151	 1.347 		32009.023438 
S152	 0.579 		44020.523438 
S161	 0.259 		64002.054688 
S1161	 0.463 		64001.640625 
S162	 0.345 		32009.023438 
S171	 0.286 		48448.019531 
S172	 0.269 		48448.019531 
S173	 1.346 		32001.626953 
S174	 2.008 		32001.626953 
S175	 0.269 		32009.023438 
S176	 0.643 		32021.121094 
S211	 0.557 		63983.308594 
S212	 0.453 		42008.136719 
S1213	 0.494 		32021.820312 
S221	 0.404 		615418176.000000 
S1221	 0.308 		128037192.000000 
S222	 0.335 		32000.000000 
S231	 0.239 		106405.335938 
S232	 0.400 		65536.000000 
S1232	 0.997 		32893.511719 
S233	 3.563 		504937.406250 
S2233	 1.818 		672224.750000 
S235	 3.218 		2194402.500000 
S241	 1.155 		64000.000000 
S242	 0.401 		1535966208.000000 
S243	 0.580 		138653.218750 
S244	 0.568 		64623.015625 
S1244	 0.639 		95998.000000 
S2244	 0.318 		64000.000000 
S251	 2.004 		32004.367188 
S1251	 2.065 		40001.945312 
S2251	 0.539 		2.635389 
S3251	 0.748 		12.595580 
S252	 0.289 		63999.000000 
S253	 0.615 		320115936.000000 
S254	 1.097 		32000.000000 
S255	 0.403 		31953.501953 
S256	 0.539 		162944.000000 
S257	 0.182 		163072.000000 
S258	 0.006 		264.967377 
S261	 0.455 		54894.515625 
S271	 1.780 		97793.570312 
S272	 0.663 		96896.039062 
S273	 0.704 		96311.546875 
S274	 0.650 		320133920.000000 
S275	 0.219 		65536.000000 
S2275	 2.211 		65536.000000 
S276	 1.680 		97793.570312 
S277	 0.268 		32000.000000 
S278	 0.668 		64012.589844 
S279	 0.364 		64014.289062 
S1279	 0.465 		48455.859375 
S2710	 0.305 		96003.281250 
S2711	 1.944 		97793.570312 
S2712	 1.727 		57788.097656 
S281	 0.511 		32000.000000 
S1281	 2.421 		inf 
S291	 0.548 		32000.000000 
S292	 0.403 		31953.501953 
S293	 0.585 		32000.000000 
S2101	 0.076 		229657.921875 
S2102	 1.123 		256.000000 
S2111	 0.318 		3.000000 
S311	 4.009 		10.950721 
S31111	 0.339 		10.950721 
S312	 6.679 		1.030518 
S313	 2.006 		1.644725 
S314	 2.004 		1.000000 
S315	 0.503 		54857.000000 
S316	 2.004 		0.000031 
S317	 22.729 		0.000000 
S318	 0.367 		32002.000000 
S319	 1.607 		43.803417 
S3110	 0.246 		514.000000 
S13110	 0.320 		4.000000 
S3111	 0.207 		10.950721 
S3112	 0.401 		52619.914062 
S3113	 2.162 		2.000000 
S321	 1.070 		32000.000000 
S322	 0.736 		32000.000000 
S323	 0.404 		146472.437500 
S331	 0.398 		32000.000000 
S332	 0.268 		2.000000 
S341	 0.403 		10.950721 
S342	 0.403 		10.950721 
S343	 0.132 		1567.842896 
S351	 1.714 		2560660224.000000 
S1351	 2.211 		32008.869141 
S352	 3.209 		1.644725 
S353	 0.295 		320084192.000000 
S421	 1.083 		32009.023438 
S1421	 1.078 		16000.000000 
S422	 2.202 		5079.864746 
S423	 1.088 		32000.683594 
S424	 1.080 		32818.730469 
S431	 2.693 		196500.265625 
S441	 0.585 		106780856.000000 
S442	 0.369 		40224.117188 
S443	 0.883 		64895.867188 
S451	 0.750 		32007.896484 
S452	 1.634 		32511.939453 
S453	 0.803 		21.901442 
S471	 0.259 		64004.925781 
S481	 0.506 		48448.019531 
S482	 0.436 		48448.019531 
S491	 0.467 		32001.640625 
S4112	 0.360 		141504.875000 
S4113	 0.350 		32001.640625 
S4114	 0.574 		32000.000000 
S4115	 0.410 		1.038636 
S4116	 0.331 		0.040034 
S4117	 0.438 		32002.205078 
S4121	 0.305 		48448.019531 
va	 1.804 		1.644725 
vag	 0.586 		1.644725 
vas	 0.598 		1.644725 
vif	 0.270 		1.644725 
vpv	 2.693 		164487.796875 
vtv	 2.694 		32000.000000 
vpvtv	 1.264 		97793.570312 
vpvts	 0.279 		48448.019531 
vpvpv	 1.256 		1.644725 
vtvtv	 1.265 		32000.000000 
vsumr	 4.009 		10.950721 
vdotr	 4.012 		1.644725 
vbor	 0.358 		31924.320312 
