sdumont1243
sdumont1243
	linux-vdso.so.1 =>  (0x00007fffe22be000)
	libm.so.6 => /usr/lib64/libm.so.6 (0x00002ab5e862b000)
	libc.so.6 => /usr/lib64/libc.so.6 (0x00002ab5e892d000)
	/lib64/ld-linux-x86-64.so.2 (0x00002ab5e8407000)

Loop 	 Time(Sec) 	 Checksum 
S000	 0.194 		32000.000000 
S111	 0.257 		32000.410156 
S1111	 0.338 		 16005.412109 
S112	 0.452 		81355.289062 
S1112	 0.338 		 32001.640625 
S113	 0.370 		32000.640625 
S1113	 0.541 		32001.640625 
S114	 0.451 		2634.220215 
S115	 2.214 		31727.289062 
S1115	 0.694 		0.065485 
S116	 1.634 		32000.000000 
S118	 0.537 		32353.884766 
S119	 0.230 		 86333.179688 
S1119	 0.341 		 106405.335938 
S121	 0.308 		32009.023438 
S122	 0.273 		48448.035156 
S123	 0.347 		32003.283203 
S124	 0.489 		32001.640625 
S125	 0.188 		131072.000000 
S126	 0.176 		344012.531250 
S127	 0.333 		32003.283203 
S128	 0.481 		80000.000000 
S131	 0.514 		32009.023438 
S132	 0.325 		65538.562500 
S141	 0.505 		146841.843750 
S151	 0.514 		32009.023438 
S152	 0.580 		44020.523438 
S161	 0.259 		64002.054688 
S1161	 0.464 		64001.640625 
S162	 0.356 		32009.023438 
S171	 0.288 		48448.019531 
S172	 0.271 		48448.019531 
S173	 0.504 		32001.626953 
S174	 0.504 		32001.626953 
S175	 0.272 		32009.023438 
S176	 0.190 		32021.121094 
S211	 0.557 		63983.308594 
S212	 0.454 		42008.136719 
S1213	 0.497 		32021.820312 
S221	 0.404 		615418176.000000 
S1221	 0.109 		128037192.000000 
S222	 0.335 		32000.000000 
S231	 0.108 		106405.335938 
S232	 0.400 		65536.000000 
S1232	 0.993 		32893.511719 
S233	 3.555 		504937.406250 
S2233	 1.704 		672224.750000 
S235	 0.894 		2194402.500000 
S241	 1.157 		64000.000000 
S242	 0.401 		1535966208.000000 
S243	 0.581 		138653.218750 
S244	 0.569 		64623.015625 
S1244	 0.640 		95998.000000 
S2244	 0.323 		64000.000000 
S251	 0.955 		32004.367188 
S1251	 1.294 		40001.945312 
S2251	 0.538 		2.635389 
S3251	 0.920 		12.595580 
S252	 0.289 		63999.000000 
S253	 0.615 		320115936.000000 
S254	 1.103 		32000.000000 
S255	 0.405 		31953.501953 
S256	 0.539 		162944.000000 
S257	 0.181 		163072.000000 
S258	 0.006 		264.967377 
S261	 0.536 		54894.515625 
S271	 1.782 		97793.570312 
S272	 0.664 		96896.039062 
S273	 0.702 		96311.546875 
S274	 0.650 		320133920.000000 
S275	 0.219 		65536.000000 
S2275	 0.563 		65536.000000 
S276	 1.681 		97793.570312 
S277	 0.268 		32000.000000 
S278	 0.668 		64012.589844 
S279	 0.365 		64014.289062 
S1279	 0.451 		48455.859375 
S2710	 0.304 		96003.281250 
S2711	 1.946 		97793.570312 
S2712	 1.729 		57788.097656 
S281	 0.510 		32000.000000 
S1281	 1.315 		inf 
S291	 0.551 		32000.000000 
S292	 0.405 		31953.501953 
S293	 0.585 		32000.000000 
S2101	 0.075 		229657.921875 
S2102	 1.138 		256.000000 
S2111	 0.317 		3.000000 
S311	 4.006 		10.950721 
S31111	 0.339 		10.950721 
S312	 6.680 		1.030518 
S313	 2.005 		1.644725 
S314	 2.004 		1.000000 
S315	 0.508 		54857.000000 
S316	 2.004 		0.000031 
S317	 22.762 		0.000000 
S318	 0.354 		32002.000000 
S319	 1.606 		43.803417 
S3110	 0.245 		514.000000 
S13110	 0.321 		4.000000 
S3111	 0.208 		10.950721 
S3112	 0.402 		52619.914062 
S3113	 2.160 		2.000000 
S321	 1.070 		32000.000000 
S322	 0.736 		32000.000000 
S323	 0.404 		146472.437500 
S331	 0.398 		32000.000000 
S332	 0.268 		2.000000 
S341	 0.404 		10.950721 
S342	 0.404 		10.950721 
S343	 0.133 		1567.842896 
S351	 0.737 		2560660224.000000 
S1351	 1.215 		32008.869141 
S352	 3.208 		1.644725 
S353	 0.296 		320084192.000000 
S421	 0.406 		32009.023438 
S1421	 0.412 		16000.000000 
S422	 0.739 		5079.864746 
S423	 0.371 		32000.683594 
S424	 0.373 		32818.730469 
S431	 0.958 		196500.265625 
S441	 0.586 		106780856.000000 
S442	 0.368 		40224.117188 
S443	 0.885 		64895.867188 
S451	 0.749 		32007.896484 
S452	 0.653 		32511.939453 
S453	 0.803 		21.901442 
S471	 0.196 		64004.925781 
S481	 0.506 		48448.019531 
S482	 0.436 		48448.019531 
S491	 0.465 		32001.640625 
S4112	 0.359 		141504.875000 
S4113	 0.350 		32001.640625 
S4114	 0.574 		32000.000000 
S4115	 0.408 		1.038636 
S4116	 0.330 		0.040034 
S4117	 0.438 		32002.205078 
S4121	 0.166 		48448.019531 
va	 0.819 		1.644725 
vag	 0.586 		1.644725 
vas	 0.603 		1.644725 
vif	 0.272 		1.644725 
vpv	 0.957 		164487.796875 
vtv	 0.964 		32000.000000 
vpvtv	 0.664 		97793.570312 
vpvts	 0.104 		48448.019531 
vpvpv	 0.664 		1.644725 
vtvtv	 0.666 		32000.000000 
vsumr	 4.006 		10.950721 
vdotr	 4.011 		1.644725 
vbor	 0.090 		31924.320312 
