sdumont1243
sdumont1243
	linux-vdso.so.1 =>  (0x00007fff3e9ef000)
	libm.so.6 => /usr/lib64/libm.so.6 (0x00002b1e24f03000)
	libgcc_s.so.1 => /usr/lib64/libgcc_s.so.1 (0x00002b1e25205000)
	libc.so.6 => /usr/lib64/libc.so.6 (0x00002b1e2541b000)
	libdl.so.2 => /usr/lib64/libdl.so.2 (0x00002b1e257e8000)
	/lib64/ld-linux-x86-64.so.2 (0x00002b1e24cdf000)

Loop 	 Time(Sec) 	 Checksum 
S000	 0.408 		32000.000000 
S111	 0.253 		32000.410156 
S1111	 0.568 		 16005.411133 
S112	 0.631 		81335.390625 
S1112	 0.608 		 32001.642578 
S113	 0.810 		32000.642578 
S1113	 0.537 		32001.642578 
S114	 0.465 		2634.199219 
S115	 1.065 		31727.289062 
S1115	 0.589 		0.065541 
S116	 2.007 		32000.000000 
S118	 0.349 		32353.884766 
S119	 0.377 		 86337.210938 
S1119	 0.347 		 106413.812500 
S121	 0.610 		32009.023438 
S122	 0.326 		48446.523438 
S123	 0.354 		32003.281250 
S124	 0.796 		32001.642578 
S125	 0.283 		131072.000000 
S126	 0.181 		344028.906250 
S127	 0.556 		32003.281250 
S128	 0.541 		80000.000000 
S131	 1.017 		32009.023438 
S132	 0.892 		65538.562500 
S141	 0.494 		146840.593750 
S151	 1.343 		32009.023438 
S152	 0.568 		44020.539062 
S161	 0.274 		64002.054688 
S1161	 0.494 		64001.640625 
S162	 0.310 		32009.023438 
S171	 0.340 		48446.593750 
S172	 0.336 		48446.593750 
S173	 1.022 		32001.632812 
S174	 1.339 		32001.632812 
S175	 0.269 		32009.023438 
S176	 0.645 		32027.125000 
S211	 0.591 		63983.355469 
S212	 0.501 		42008.289062 
S1213	 0.472 		32022.835938 
S221	 0.472 		615418752.000000 
S1221	 0.335 		128036464.000000 
S222	 0.619 		32000.000000 
S231	 0.192 		106413.812500 
S232	 0.395 		65536.000000 
S1232	 0.957 		32895.429688 
S233	 0.492 		504898.000000 
S2233	 0.370 		672143.000000 
S235	 0.482 		2194386.250000 
S241	 1.989 		64000.000000 
S242	 0.165 		1535965696.000000 
S243	 1.068 		138651.453125 
S244	 1.092 		64621.039062 
S1244	 0.950 		95998.000000 
S2244	 0.407 		64000.000000 
S251	 1.415 		32004.369141 
S1251	 2.230 		40001.968750 
S2251	 0.624 		2.635508 
S3251	 0.736 		12.595615 
S252	 0.280 		63999.000000 
S253	 0.650 		320035136.000000 
S254	 1.083 		32000.000000 
S255	 0.336 		31968.720703 
S256	 0.547 		162944.000000 
S257	 0.171 		163072.000000 
S258	 0.006 		264.967377 
S261	 0.502 		54894.949219 
S271	 1.670 		97787.843750 
S272	 0.693 		96893.187500 
S273	 0.759 		96310.562500 
S274	 0.736 		320051712.000000 
S275	 0.038 		65536.000000 
S2275	 0.231 		65536.000000 
S276	 1.923 		97787.843750 
S277	 0.269 		32000.000000 
S278	 0.726 		64012.589844 
S279	 0.356 		64014.289062 
S1279	 0.490 		48457.527344 
S2710	 0.417 		96003.281250 
S2711	 1.952 		97787.843750 
S2712	 1.746 		57789.023438 
S281	 0.460 		32000.000000 
S1281	 2.788 		inf 
S291	 0.542 		32000.000000 
S292	 0.312 		31968.720703 
S293	 0.571 		32000.000000 
S2101	 0.087 		229657.875000 
S2102	 0.050 		256.000000 
S2111	 0.305 		3.000000 
S311	 2.004 		10.950749 
S31111	 0.262 		10.950749 
S312	 6.675 		1.030518 
S313	 1.020 		1.644777 
S314	 1.337 		1.000000 
S315	 0.402 		54857.000000 
S316	 1.671 		0.000031 
S317	 1.667 		0.000000 
S318	 0.430 		32002.000000 
S319	 1.609 		43.803417 
S3110	 0.205 		514.000000 
S13110	 0.214 		4.000000 
S3111	 0.206 		10.950721 
S3112	 0.401 		52620.261719 
S3113	 2.196 		2.000000 
S321	 1.070 		32000.000000 
S322	 0.686 		32000.000000 
S323	 0.404 		146472.796875 
S331	 0.294 		32000.000000 
S332	 0.268 		2.000000 
S341	 0.273 		10.950749 
S342	 0.336 		10.950749 
S343	 0.121 		1567.810547 
S351	 2.155 		2560000512.000000 
S1351	 1.868 		32009.886719 
S352	 1.442 		1.644841 
S353	 0.317 		320003360.000000 
S421	 0.847 		32009.023438 
S1421	 1.074 		16000.000000 
S422	 2.154 		5079.864746 
S423	 1.078 		32000.695312 
S424	 1.074 		32818.730469 
S431	 2.036 		196494.000000 
S441	 0.651 		106782528.000000 
S442	 0.402 		40223.410156 
S443	 0.946 		64892.996094 
S451	 1.125 		32008.916016 
S452	 1.639 		32512.046875 
S453	 0.537 		21.901497 
S471	 0.284 		64004.929688 
S481	 0.552 		48446.593750 
S482	 0.573 		48446.593750 
S491	 0.398 		32001.642578 
S4112	 0.358 		141505.531250 
S4113	 0.344 		32001.642578 
S4114	 0.430 		32000.000000 
S4115	 0.277 		1.038717 
S4116	 0.223 		0.040034 
S4117	 0.347 		32002.205078 
S4121	 0.285 		48446.593750 
va	 0.763 		1.644777 
vag	 0.490 		1.644777 
vas	 0.604 		1.644794 
vif	 0.269 		1.644777 
vpv	 2.036 		164497.281250 
vtv	 2.039 		32000.000000 
vpvtv	 1.138 		97787.843750 
vpvts	 0.269 		48446.593750 
vpvpv	 1.157 		1.644777 
vtvtv	 1.164 		32000.000000 
vsumr	 2.004 		10.950749 
vdotr	 2.040 		1.644777 
vbor	 0.133 		31924.320312 
