sdumont1243
sdumont1243
	linux-vdso.so.1 =>  (0x00002b2f7a567000)
	libm.so.6 => /usr/lib64/libm.so.6 (0x00002b2f7a769000)
	libgcc_s.so.1 => /usr/lib64/libgcc_s.so.1 (0x00002b2f7aa6b000)
	libc.so.6 => /usr/lib64/libc.so.6 (0x00002b2f7ac81000)
	libdl.so.2 => /usr/lib64/libdl.so.2 (0x00002b2f7b04e000)
	/lib64/ld-linux-x86-64.so.2 (0x00002b2f7a545000)

Loop 	 Time(Sec) 	 Checksum 
S000	 0.162 		32000.000000 
S111	 0.269 		32000.410156 
S1111	 0.371 		 16005.411133 
S112	 0.633 		81335.929688 
S1112	 0.247 		 32001.642578 
S113	 0.330 		32000.642578 
S1113	 0.537 		32001.642578 
S114	 0.460 		2634.263184 
S115	 0.422 		31727.289062 
S1115	 0.518 		0.065541 
S116	 0.727 		32000.000000 
S118	 0.381 		32353.884766 
S119	 0.213 		 86339.437500 
S1119	 0.347 		 106399.515625 
S121	 0.284 		32009.027344 
S122	 0.280 		48446.664062 
S123	 0.353 		32003.285156 
S124	 0.278 		32001.642578 
S125	 0.187 		131072.000000 
S126	 0.181 		344031.593750 
S127	 0.342 		32003.285156 
S128	 0.515 		80000.000000 
S131	 0.473 		32009.027344 
S132	 0.229 		65538.562500 
S141	 0.521 		146842.359375 
S151	 0.474 		32009.027344 
S152	 0.369 		44020.542969 
S161	 0.267 		64002.054688 
S1161	 0.338 		64001.640625 
S162	 0.292 		32009.027344 
S171	 0.341 		48446.953125 
S172	 0.337 		48446.953125 
S173	 0.483 		32001.636719 
S174	 0.483 		32001.636719 
S175	 0.270 		32009.027344 
S176	 0.332 		32021.333984 
S211	 0.410 		63983.191406 
S212	 0.303 		42008.597656 
S1213	 0.296 		32022.511719 
S221	 0.280 		615419776.000000 
S1221	 0.151 		128031344.000000 
S222	 0.521 		32000.000000 
S231	 0.215 		106399.515625 
S232	 0.396 		65536.000000 
S1232	 0.941 		32895.429688 
S233	 0.415 		504910.968750 
S2233	 0.216 		672169.312500 
S235	 0.226 		2194361.250000 
S241	 0.649 		64000.000000 
S242	 0.109 		1535964672.000000 
S243	 0.376 		138649.375000 
S244	 0.664 		64617.093750 
S1244	 0.360 		95998.000000 
S2244	 0.303 		64000.000000 
S251	 0.907 		32004.369141 
S1251	 1.251 		39966.546875 
S2251	 0.522 		2.635614 
S3251	 0.620 		12.595600 
S252	 0.279 		63999.000000 
S253	 0.283 		320038464.000000 
S254	 0.424 		32000.000000 
S255	 0.336 		31968.691406 
S256	 0.546 		162944.000000 
S257	 0.173 		163072.000000 
S258	 0.006 		264.967438 
S261	 0.301 		54895.425781 
S271	 0.704 		97789.289062 
S272	 0.322 		96893.906250 
S273	 0.366 		96308.585938 
S274	 0.377 		320055040.000000 
S275	 0.017 		65536.000000 
S2275	 0.155 		65536.000000 
S276	 0.995 		97789.289062 
S277	 0.268 		32000.000000 
S278	 0.391 		64012.589844 
S279	 0.227 		64014.289062 
S1279	 0.284 		48458.359375 
S2710	 0.216 		96003.281250 
S2711	 0.704 		97789.289062 
S2712	 0.707 		97789.289062 
S281	 0.463 		32000.000000 
S1281	 1.285 		inf 
S291	 0.212 		32000.000000 
S292	 0.130 		31968.691406 
S293	 0.571 		31999.998047 
S2101	 0.087 		229657.937500 
S2102	 0.049 		256.000000 
S2111	 0.305 		3.000000 
S311	 0.418 		10.950724 
S31111	 0.262 		10.950724 
S312	 1.664 		1.030869 
S313	 0.446 		1.644884 
S314	 0.500 		1.000000 
S315	 0.130 		54857.000000 
S316	 0.500 		0.000031 
S317	 0.414 		0.000000 
S318	 0.168 		32002.000000 
S319	 0.792 		43.802994 
S3110	 0.201 		514.000000 
S13110	 0.080 		4.000000 
S3111	 0.034 		10.950722 
S3112	 0.401 		52621.476562 
S3113	 0.410 		2.000000 
S321	 1.070 		32000.000000 
S322	 0.685 		32000.000000 
S323	 0.404 		146474.531250 
S331	 0.158 		32000.000000 
S332	 0.268 		2.000000 
S341	 0.273 		10.950724 
S342	 0.337 		10.950724 
S343	 0.125 		1567.820801 
S351	 0.780 		2560001024.000000 
S1351	 1.238 		32009.560547 
S352	 1.453 		1.644841 
S353	 0.315 		320006720.000000 
S421	 0.831 		32009.023438 
S1421	 0.393 		16000.000000 
S422	 2.157 		5079.864746 
S423	 1.080 		32000.703125 
S424	 1.076 		32818.730469 
S431	 0.920 		196492.328125 
S441	 0.334 		106785888.000000 
S442	 0.234 		40223.527344 
S443	 0.499 		64893.710938 
S451	 0.445 		32008.587891 
S452	 0.640 		32512.000000 
S453	 0.203 		21.901449 
S471	 0.195 		64004.929688 
S481	 0.551 		48446.953125 
S482	 0.572 		48446.953125 
S491	 0.399 		32001.644531 
S4112	 0.356 		141506.031250 
S4113	 0.344 		32001.644531 
S4114	 0.434 		32000.000000 
S4115	 0.282 		1.038717 
S4116	 0.222 		0.040034 
S4117	 0.346 		32002.205078 
S4121	 0.166 		48446.953125 
va	 0.759 		1.644824 
vag	 0.479 		1.644824 
vas	 0.595 		1.644830 
vif	 0.127 		1.644824 
vpv	 0.919 		164502.343750 
vtv	 0.924 		32000.000000 
vpvtv	 0.662 		97789.289062 
vpvts	 0.097 		48446.953125 
vpvpv	 0.656 		1.644824 
vtvtv	 0.659 		32000.000000 
vsumr	 0.418 		10.950724 
vdotr	 0.893 		1.644884 
vbor	 0.089 		31924.324219 
