sdumont1243
sdumont1243
	linux-vdso.so.1 =>  (0x00007ffc0773c000)
	libm.so.6 => /usr/lib64/libm.so.6 (0x00002b0d4c094000)
	libpgatm.so => /scratch/app/pgi/2019.4/linux86-64-llvm/19.4/lib/libpgatm.so (0x00002b0d4c396000)
	libpgkomp.so => /scratch/app/pgi/2019.4/linux86-64-llvm/19.4/lib/libpgkomp.so (0x00002b0d4c59f000)
	libomp.so => /scratch/app/pgi/2019.4/linux86-64-llvm/19.4/lib/libomp.so (0x00002b0d4c7a2000)
	libpthread.so.0 => /usr/lib64/libpthread.so.0 (0x00002b0d4ca73000)
	libpgmath.so => /scratch/app/pgi/2019.4/linux86-64-llvm/19.4/lib/libpgmath.so (0x00002b0d4cc8f000)
	libpgc.so => /scratch/app/pgi/2019.4/linux86-64-llvm/19.4/lib/libpgc.so (0x00002b0d4d0a1000)
	libc.so.6 => /usr/lib64/libc.so.6 (0x00002b0d4d3f7000)
	libgcc_s.so.1 => /scratch/app/gcc/6.5/lib/gcc/x86_64-pc-linux-gnu/6.5.0/../../../../lib64/libgcc_s.so.1 (0x00002b0d4d7c4000)
	/lib64/ld-linux-x86-64.so.2 (0x00002b0d4be70000)
	libdl.so.2 => /usr/lib64/libdl.so.2 (0x00002b0d4d9db000)

Loop 	 Time(Sec) 	 Checksum 
S000	 0.349 		32000.000000 
S111	 0.271 		32000.410156 
S1111	 0.579 		 16005.412109 
S112	 0.309 		81336.656250 
S1112	 0.238 		 32001.644531 
S113	 0.818 		32000.644531 
S1113	 0.409 		32001.644531 
S114	 0.509 		2634.272705 
S115	 1.293 		31727.289062 
S1115	 0.534 		0.065536 
S116	 0.984 		32000.000000 
S118	 0.368 		32353.886719 
S119	 0.365 		 86338.992188 
S1119	 0.371 		 106399.179688 
S121	 0.267 		32009.031250 
S122	 0.098 		48447.121094 
S123	 0.360 		32003.285156 
S124	 0.358 		32001.644531 
S125	 0.239 		131072.000000 
S126	 0.168 		344040.281250 
S127	 0.543 		32003.285156 
S128	 0.531 		80000.000000 
S131	 0.445 		32009.031250 
S132	 0.203 		65538.562500 
S141	 0.517 		146841.890625 
S151	 0.453 		32009.031250 
S152	 0.392 		44020.546875 
S161	 0.224 		64002.054688 
S1161	 0.330 		64001.644531 
S162	 0.157 		32009.031250 
S171	 0.087 		48447.015625 
S172	 0.088 		48447.015625 
S173	 0.791 		32001.640625 
S174	 0.791 		32001.640625 
S175	 0.090 		32009.031250 
S176	 0.272 		32021.292969 
S211	 0.404 		63983.183594 
S212	 0.279 		42008.632812 
S1213	 0.287 		32023.529297 
S221	 0.510 		615420480.000000 
S1221	 0.135 		128031168.000000 
S222	 0.435 		32000.000000 
S231	 0.186 		106399.179688 
S232	 0.435 		65536.000000 
S1232	 1.041 		32896.000000 
S233	 0.541 		504911.718750 
S2233	 0.356 		672170.250000 
S235	 0.371 		2194347.000000 
S241	 0.558 		64000.000000 
S242	 0.456 		1535954688.000000 
S243	 0.715 		138650.015625 
S244	 0.293 		64609.429688 
S1244	 0.572 		95998.000000 
S2244	 0.322 		64000.000000 
S251	 1.207 		32004.369141 
S1251	 1.297 		40001.992188 
S2251	 0.385 		2.635674 
S3251	 0.634 		12.595596 
S252	 0.244 		63999.000000 
S253	 0.295 		320045184.000000 
S254	 0.631 		32000.000000 
S255	 0.186 		31968.628906 
S256	 0.501 		162944.000000 
S257	 0.199 		163072.000000 
S258	 0.007 		264.967438 
S261	 0.291 		54895.472656 
S271	 0.728 		97789.406250 
S272	 0.328 		96894.031250 
S273	 0.372 		96304.750000 
S274	 0.387 		320061760.000000 
S275	 0.231 		65536.000000 
S2275	 0.153 		65536.000000 
S276	 1.007 		97789.406250 
S277	 0.268 		32000.000000 
S278	 0.373 		64012.593750 
S279	 0.339 		64014.289062 
S1279	 0.328 		48459.046875 
S2710	 0.188 		96003.289062 
S2711	 0.731 		97789.406250 
S2712	 0.736 		57789.656250 
S281	 0.449 		32000.000000 
S1281	 1.319 		inf 
S291	 0.671 		32000.000000 
S292	 0.336 		31968.628906 
S293	 0.571 		32000.000000 
S2101	 0.092 		229657.921875 
S2102	 0.133 		256.000000 
S2111	 0.368 		3.000000 
S311	 0.502 		10.950726 
S31111	 0.262 		10.950726 
S312	 0.836 		1.030928 
S313	 0.406 		1.644862 
S314	 0.418 		1.000000 
S315	 0.533 		54857.000000 
S316	 0.441 		0.000031 
S317	 0.206 		0.000000 
S318	 0.482 		32002.000000 
S319	 1.611 		43.803417 
S3110	 0.475 		514.000000 
S13110	 0.085 		4.000000 
S3111	 0.334 		10.950721 
S3112	 0.401 		52623.863281 
S3113	 0.398 		2.000000 
S321	 1.270 		32000.000000 
S322	 0.836 		32000.000000 
S323	 0.504 		146478.031250 
S331	 0.311 		32000.000000 
S332	 0.198 		2.000000 
S341	 0.336 		10.950726 
S342	 0.341 		10.950726 
S343	 0.132 		1567.839600 
S351	 1.012 		2560001792.000000 
S1351	 1.867 		32010.578125 
S352	 1.254 		1.644841 
S353	 0.293 		320013440.000000 
S421	 0.361 		32009.031250 
S1421	 0.385 		16000.000000 
S422	 0.710 		5079.785645 
